Time_ms,Voltage_mV
346.5,-61.61837509016934
347.0,-61.16268245613369
347.5,-60.66079980622191
348.0,-60.10178083391726
348.5,-59.47088876374342
349.0,-58.7478223481427
349.5,-57.90386415996831
350.0,-56.89711941332275
350.5,-55.66420723288087
351.0,-54.1049827629277
351.5,-52.05262568477531
352.0,-49.21041561832586
352.5,-45.004687041735245
353.0,-38.198274275284895
353.5,-25.695195800522715
354.0,2.0883097176586
354.5,-65.0
355.0,-68.23596779310243
355.5,-70.87154937780366
356.0,-72.69357866433015
356.5,-73.76722540079894
357.0,-74.30708383711107
357.5,-74.52449917992962
358.0,-74.56517480390438
358.5,-74.51365420594101
359.0,-74.41503106392051
359.5,-74.29246336415297
360.0,-74.15767817845436
360.5,-74.0166005764592
361.0,-73.87223321369724
361.5,-73.72610451763856
362.0,-73.57899465018886
362.5,-73.43130069600848
363.0,-73.28322161327509
363.5,-73.13485268460275
364.0,-72.98623418468767
364.5,-72.8373766837043
365.0,-72.68827431557725
365.5,-72.53891178653444
366.0,-72.38926809519322
366.5,-72.23931850699157
367.0,-72.08903559144461
367.5,-71.93838974968271
368.0,-71.78734946017373
368.5,-71.6358813650273
369.0,-71.48395026296383
369.5,-71.33151904466168
370.0,-71.17854858963781
370.5,-71.02499763466263
371.0,-70.87082261855704
371.5,-70.7159775052368
372.0,-70.5604135850647
372.5,-70.40407925340101
373.0,-70.24691976440144
373.5,-70.0888769574291
374.0,-69.92988895281636
374.5,-69.76988981307362
375.0,-69.60880916494429
375.5,-69.44657177691705
376.0,-69.28309708589111
376.5,-69.11829866561285
377.0,-68.95208362822363
377.5,-68.78435194873046
378.0,-68.61499570037644
378.5,-68.44389818667193
379.0,-68.270932953163
379.5,-68.09596265874414
380.0,-67.91883778232322
380.5,-67.73939513573067
381.0,-67.55745614769577
381.5,-67.3728248761769
382.0,-67.18528569692788
382.5,-66.99460060438142
383.0,-66.80050604602974
383.5,-66.60270919255798
384.0,-66.4008835217893
384.5,-66.19466356335465
385.0,-65.9836386106162
385.5,-65.76734515361257
386.0,-65.54525771730529
386.5,-65.31677769709746
387.0,-65.0812196598603
387.5,-64.83779441122775
388.0,-64.5855879009008
388.5,-64.32353472105976
389.0,-64.05038451000722
389.5,-63.764658945569174
390.0,-63.46459611144495
390.5,-63.14807770607456
391.0,-62.81253261841686
391.5,-62.454807464497755
392.0,-62.07099017961809
392.5,-61.6561657104353
393.0,-61.204071548234296
393.5,-60.706602265806225
394.0,-60.15308082092546
394.5,-59.52915964913916
395.0,-58.81511574717929
395.5,-57.98311835478414
396.0,-56.9926831893704
396.5,-55.78277244018153
397.0,-54.25733985484981
397.5,-52.257198590151894
